File System,Block Size,Inode Size,Block Group,Atime Option,Journal Option,Special Option,I/O Scheduler,Device,Throughput
ext2,1024,none,none,none,none,none,noop,sas,37567.0
ext2,1024,none,none,none,none,none,noop,500sas,37407.33
ext2,1024,none,none,none,none,none,noop,ssd,38352.0
ext2,1024,none,none,none,none,none,noop,sata,38100.33
ext2,1024,none,none,none,none,none,cfq,sas,40092.0
ext2,1024,none,none,none,none,none,cfq,500sas,39897.0
ext2,1024,none,none,none,none,none,cfq,ssd,40285.0
ext2,1024,none,none,none,none,none,cfq,sata,38547.0
ext2,1024,none,none,none,none,none,deadline,sas,38402.33
ext2,1024,none,none,none,none,none,deadline,500sas,37980.33
ext2,1024,none,none,none,none,none,deadline,ssd,38462.33
ext2,1024,none,none,none,none,none,deadline,sata,37917.0
ext2,1024,none,none,noatime,none,none,noop,sas,38521.0
ext2,1024,none,none,noatime,none,none,noop,500sas,38592.67
ext2,1024,none,none,noatime,none,none,noop,ssd,38820.0
ext2,1024,none,none,noatime,none,none,noop,sata,38886.67
ext2,1024,none,none,noatime,none,none,cfq,sas,40516.67
ext2,1024,none,none,noatime,none,none,cfq,500sas,39935.67
ext2,1024,none,none,noatime,none,none,cfq,ssd,40530.33
ext2,1024,none,none,noatime,none,none,cfq,sata,40398.33
ext2,1024,none,none,noatime,none,none,deadline,sas,38843.67
ext2,1024,none,none,noatime,none,none,deadline,500sas,38206.67
ext2,1024,none,none,noatime,none,none,deadline,ssd,38577.67
ext2,1024,none,none,noatime,none,none,deadline,sata,39036.0
ext2,1024,none,2,none,none,none,noop,sas,38022.33
ext2,1024,none,2,none,none,none,noop,500sas,37912.67
ext2,1024,none,2,none,none,none,noop,ssd,38109.67
ext2,1024,none,2,none,none,none,noop,sata,37690.0
ext2,1024,none,2,none,none,none,cfq,sas,39948.33
ext2,1024,none,2,none,none,none,cfq,500sas,38632.33
ext2,1024,none,2,none,none,none,cfq,ssd,40390.33
ext2,1024,none,2,none,none,none,cfq,sata,39697.0
ext2,1024,none,2,none,none,none,deadline,sas,38062.0
ext2,1024,none,2,none,none,none,deadline,500sas,37826.67
ext2,1024,none,2,none,none,none,deadline,ssd,38430.0
ext2,1024,none,2,none,none,none,deadline,sata,37717.0
ext2,1024,none,2,noatime,none,none,noop,sas,37918.0
ext2,1024,none,2,noatime,none,none,noop,500sas,38293.33
ext2,1024,none,2,noatime,none,none,noop,ssd,38547.67
ext2,1024,none,2,noatime,none,none,noop,sata,38480.0
ext2,1024,none,2,noatime,none,none,cfq,sas,40340.33
ext2,1024,none,2,noatime,none,none,cfq,500sas,38737.33
ext2,1024,none,2,noatime,none,none,cfq,ssd,40691.0
ext2,1024,none,2,noatime,none,none,cfq,sata,39665.67
ext2,1024,none,2,noatime,none,none,deadline,sas,38797.67
ext2,1024,none,2,noatime,none,none,deadline,500sas,38493.67
ext2,1024,none,2,noatime,none,none,deadline,ssd,38696.67
ext2,1024,none,2,noatime,none,none,deadline,sata,38521.0
ext2,1024,none,4,none,none,none,noop,sas,38005.67
ext2,1024,none,4,none,none,none,noop,500sas,37772.33
ext2,1024,none,4,none,none,none,noop,ssd,38592.67
ext2,1024,none,4,none,none,none,noop,sata,37990.33
ext2,1024,none,4,none,none,none,cfq,sas,40377.0
ext2,1024,none,4,none,none,none,cfq,500sas,40211.33
ext2,1024,none,4,none,none,none,cfq,ssd,40500.67
ext2,1024,none,4,none,none,none,cfq,sata,39718.0
ext2,1024,none,4,none,none,none,deadline,sas,38757.33
ext2,1024,none,4,none,none,none,deadline,500sas,38132.0
ext2,1024,none,4,none,none,none,deadline,ssd,38023.0
ext2,1024,none,4,none,none,none,deadline,sata,38034.67
ext2,1024,none,4,noatime,none,none,noop,sas,38645.0
ext2,1024,none,4,noatime,none,none,noop,500sas,38773.67
ext2,1024,none,4,noatime,none,none,noop,ssd,38618.33
ext2,1024,none,4,noatime,none,none,noop,sata,38598.33
ext2,1024,none,4,noatime,none,none,cfq,sas,40573.0
ext2,1024,none,4,noatime,none,none,cfq,500sas,39288.33
ext2,1024,none,4,noatime,none,none,cfq,ssd,40703.67
ext2,1024,none,4,noatime,none,none,cfq,sata,40159.67
ext2,1024,none,4,noatime,none,none,deadline,sas,38736.33
ext2,1024,none,4,noatime,none,none,deadline,500sas,37849.0
ext2,1024,none,4,noatime,none,none,deadline,ssd,39132.67
ext2,1024,none,4,noatime,none,none,deadline,sata,38324.0
ext2,1024,none,8,none,none,none,noop,sas,38189.0
ext2,1024,none,8,none,none,none,noop,500sas,38377.0
ext2,1024,none,8,none,none,none,noop,ssd,38055.33
ext2,1024,none,8,none,none,none,noop,sata,38311.33
ext2,1024,none,8,none,none,none,cfq,sas,40364.33
ext2,1024,none,8,none,none,none,cfq,500sas,39742.67
ext2,1024,none,8,none,none,none,cfq,ssd,40278.67
ext2,1024,none,8,none,none,none,cfq,sata,40403.67
ext2,1024,none,8,none,none,none,deadline,sas,38146.0
ext2,1024,none,8,none,none,none,deadline,500sas,37939.0
ext2,1024,none,8,none,none,none,deadline,ssd,38052.0
ext2,1024,none,8,none,none,none,deadline,sata,38150.0
ext2,1024,none,8,noatime,none,none,noop,sas,38623.33
ext2,1024,none,8,noatime,none,none,noop,500sas,38486.33
ext2,1024,none,8,noatime,none,none,noop,ssd,38497.0
ext2,1024,none,8,noatime,none,none,noop,sata,38556.67
ext2,1024,none,8,noatime,none,none,cfq,sas,40410.67
ext2,1024,none,8,noatime,none,none,cfq,500sas,40325.33
ext2,1024,none,8,noatime,none,none,cfq,ssd,40215.0
ext2,1024,none,8,noatime,none,none,cfq,sata,40376.33
ext2,1024,none,8,noatime,none,none,deadline,sas,38786.0
ext2,1024,none,8,noatime,none,none,deadline,500sas,38312.67
ext2,1024,none,8,noatime,none,none,deadline,ssd,38739.0
ext2,1024,none,8,noatime,none,none,deadline,sata,38569.0
ext2,1024,128,none,none,none,none,noop,sas,41382.33
ext2,1024,128,none,none,none,none,noop,500sas,40533.67
ext2,1024,128,none,none,none,none,noop,ssd,40837.0
ext2,1024,128,none,none,none,none,noop,sata,40539.67
ext2,1024,128,none,none,none,none,cfq,sas,41155.67
ext2,1024,128,none,none,none,none,cfq,500sas,40929.67
ext2,1024,128,none,none,none,none,cfq,ssd,41046.67
ext2,1024,128,none,none,none,none,cfq,sata,40210.67
ext2,1024,128,none,none,none,none,deadline,sas,41269.67
ext2,1024,128,none,none,none,none,deadline,500sas,40606.33
ext2,1024,128,none,none,none,none,deadline,ssd,41378.67
ext2,1024,128,none,none,none,none,deadline,sata,40522.67
ext2,1024,128,none,noatime,none,none,noop,sas,40976.0
ext2,1024,128,none,noatime,none,none,noop,500sas,40560.33
ext2,1024,128,none,noatime,none,none,noop,ssd,41507.33
ext2,1024,128,none,noatime,none,none,noop,sata,41216.33
ext2,1024,128,none,noatime,none,none,cfq,sas,41044.0
ext2,1024,128,none,noatime,none,none,cfq,500sas,41047.67
ext2,1024,128,none,noatime,none,none,cfq,ssd,41194.0
ext2,1024,128,none,noatime,none,none,cfq,sata,40800.0
ext2,1024,128,none,noatime,none,none,deadline,sas,41214.67
ext2,1024,128,none,noatime,none,none,deadline,500sas,40624.33
ext2,1024,128,none,noatime,none,none,deadline,ssd,41031.67
ext2,1024,128,none,noatime,none,none,deadline,sata,41303.0
ext2,1024,128,2,none,none,none,noop,sas,40270.67
ext2,1024,128,2,none,none,none,noop,500sas,40246.67
ext2,1024,128,2,none,none,none,noop,ssd,40746.0
ext2,1024,128,2,none,none,none,noop,sata,40489.67
ext2,1024,128,2,none,none,none,cfq,sas,41029.33
ext2,1024,128,2,none,none,none,cfq,500sas,40054.67
ext2,1024,128,2,none,none,none,cfq,ssd,40119.33
ext2,1024,128,2,none,none,none,cfq,sata,41043.67
ext2,1024,128,2,none,none,none,deadline,sas,39989.0
ext2,1024,128,2,none,none,none,deadline,500sas,39715.0
ext2,1024,128,2,none,none,none,deadline,ssd,40839.33
ext2,1024,128,2,none,none,none,deadline,sata,39593.67
ext2,1024,128,2,noatime,none,none,noop,sas,40435.0
ext2,1024,128,2,noatime,none,none,noop,500sas,39849.33
ext2,1024,128,2,noatime,none,none,noop,ssd,40137.67
ext2,1024,128,2,noatime,none,none,noop,sata,40594.33
ext2,1024,128,2,noatime,none,none,cfq,sas,41091.0
ext2,1024,128,2,noatime,none,none,cfq,500sas,39983.0
ext2,1024,128,2,noatime,none,none,cfq,ssd,41072.0
ext2,1024,128,2,noatime,none,none,cfq,sata,40755.0
