File System,Block Size,Inode Size,Block Group,Atime Option,Journal Option,Special Option,I/O Scheduler,Device,Throughput
ext2,1024,none,none,none,none,none,noop,sas,5654.0
ext2,1024,none,none,none,none,none,noop,500sas,1142.0
ext2,1024,none,none,none,none,none,noop,ssd,10806.0
ext2,1024,none,none,none,none,none,noop,sata,866.5
ext2,1024,none,none,none,none,none,cfq,sas,6254.33
ext2,1024,none,none,none,none,none,cfq,500sas,2297.67
ext2,1024,none,none,none,none,none,cfq,ssd,10908.67
ext2,1024,none,none,none,none,none,cfq,sata,2356.67
ext2,1024,none,none,none,none,none,deadline,sas,5712.0
ext2,1024,none,none,none,none,none,deadline,500sas,1350.89
ext2,1024,none,none,none,none,none,deadline,ssd,10919.67
ext2,1024,none,none,none,none,none,deadline,sata,857.56
ext2,1024,none,none,noatime,none,none,noop,sas,5714.67
ext2,1024,none,none,noatime,none,none,noop,500sas,1560.78
ext2,1024,none,none,noatime,none,none,noop,ssd,10792.0
ext2,1024,none,none,noatime,none,none,noop,sata,957.33
ext2,1024,none,none,noatime,none,none,cfq,sas,6190.33
ext2,1024,none,none,noatime,none,none,cfq,500sas,2325.33
ext2,1024,none,none,noatime,none,none,cfq,ssd,10876.67
ext2,1024,none,none,noatime,none,none,cfq,sata,2274.0
ext2,1024,none,none,noatime,none,none,deadline,sas,5887.67
ext2,1024,none,none,noatime,none,none,deadline,500sas,1208.22
ext2,1024,none,none,noatime,none,none,deadline,ssd,10888.67
ext2,1024,none,none,noatime,none,none,deadline,sata,969.0
ext2,1024,none,2,none,none,none,noop,sas,3604.67
ext2,1024,none,2,none,none,none,noop,500sas,820.88
ext2,1024,none,2,none,none,none,noop,ssd,10552.67
ext2,1024,none,2,none,none,none,noop,sata,362.89
ext2,1024,none,2,none,none,none,cfq,sas,5594.0
ext2,1024,none,2,none,none,none,cfq,500sas,4681.0
ext2,1024,none,2,none,none,none,cfq,ssd,10636.0
ext2,1024,none,2,none,none,none,cfq,sata,3182.0
ext2,1024,none,2,none,none,none,deadline,sas,3663.0
ext2,1024,none,2,none,none,none,deadline,500sas,685.25
ext2,1024,none,2,none,none,none,deadline,ssd,10472.0
ext2,1024,none,2,none,none,none,deadline,sata,388.62
ext2,1024,none,2,noatime,none,none,noop,sas,3831.0
ext2,1024,none,2,noatime,none,none,noop,500sas,827.89
ext2,1024,none,2,noatime,none,none,noop,ssd,10518.0
ext2,1024,none,2,noatime,none,none,noop,sata,411.25
ext2,1024,none,2,noatime,none,none,cfq,sas,5660.33
ext2,1024,none,2,noatime,none,none,cfq,500sas,5424.0
ext2,1024,none,2,noatime,none,none,cfq,ssd,10696.67
ext2,1024,none,2,noatime,none,none,cfq,sata,2202.0
ext2,1024,none,2,noatime,none,none,deadline,sas,3872.0
ext2,1024,none,2,noatime,none,none,deadline,500sas,788.12
ext2,1024,none,2,noatime,none,none,deadline,ssd,10425.67
ext2,1024,none,2,noatime,none,none,deadline,sata,365.78
ext2,1024,none,4,none,none,none,noop,sas,4854.33
ext2,1024,none,4,none,none,none,noop,500sas,1103.33
ext2,1024,none,4,none,none,none,noop,ssd,10834.67
ext2,1024,none,4,none,none,none,noop,sata,639.0
ext2,1024,none,4,none,none,none,cfq,sas,5912.67
ext2,1024,none,4,none,none,none,cfq,500sas,2518.67
ext2,1024,none,4,none,none,none,cfq,ssd,10833.33
ext2,1024,none,4,none,none,none,cfq,sata,2921.33
ext2,1024,none,4,none,none,none,deadline,sas,4751.33
ext2,1024,none,4,none,none,none,deadline,500sas,1262.33
ext2,1024,none,4,none,none,none,deadline,ssd,10847.33
ext2,1024,none,4,none,none,none,deadline,sata,720.0
ext2,1024,none,4,noatime,none,none,noop,sas,5031.0
ext2,1024,none,4,noatime,none,none,noop,500sas,1076.67
ext2,1024,none,4,noatime,none,none,noop,ssd,10756.33
ext2,1024,none,4,noatime,none,none,noop,sata,651.25
ext2,1024,none,4,noatime,none,none,cfq,sas,5859.0
ext2,1024,none,4,noatime,none,none,cfq,500sas,2633.67
ext2,1024,none,4,noatime,none,none,cfq,ssd,10828.67
ext2,1024,none,4,noatime,none,none,cfq,sata,2992.33
ext2,1024,none,4,noatime,none,none,deadline,sas,5011.33
ext2,1024,none,4,noatime,none,none,deadline,500sas,1207.62
ext2,1024,none,4,noatime,none,none,deadline,ssd,10736.67
ext2,1024,none,4,noatime,none,none,deadline,sata,698.0
ext2,1024,none,8,none,none,none,noop,sas,5843.33
ext2,1024,none,8,none,none,none,noop,500sas,1315.12
ext2,1024,none,8,none,none,none,noop,ssd,10850.67
ext2,1024,none,8,none,none,none,noop,sata,814.11
ext2,1024,none,8,none,none,none,cfq,sas,6858.33
ext2,1024,none,8,none,none,none,cfq,500sas,2245.25
ext2,1024,none,8,none,none,none,cfq,ssd,10915.0
ext2,1024,none,8,none,none,none,cfq,sata,2318.33
ext2,1024,none,8,none,none,none,deadline,sas,5934.67
ext2,1024,none,8,none,none,none,deadline,500sas,1226.67
ext2,1024,none,8,none,none,none,deadline,ssd,10918.33
ext2,1024,none,8,none,none,none,deadline,sata,834.22
ext2,1024,none,8,noatime,none,none,noop,sas,5992.33
ext2,1024,none,8,noatime,none,none,noop,500sas,1644.38
ext2,1024,none,8,noatime,none,none,noop,ssd,10800.67
ext2,1024,none,8,noatime,none,none,noop,sata,961.67
ext2,1024,none,8,noatime,none,none,cfq,sas,6910.67
ext2,1024,none,8,noatime,none,none,cfq,500sas,2336.67
ext2,1024,none,8,noatime,none,none,cfq,ssd,10934.33
ext2,1024,none,8,noatime,none,none,cfq,sata,2400.33
ext2,1024,none,8,noatime,none,none,deadline,sas,6038.33
ext2,1024,none,8,noatime,none,none,deadline,500sas,1937.62
ext2,1024,none,8,noatime,none,none,deadline,ssd,10906.33
