Workload,FileSystem,BlockSize,InodeSize,BlockGroup,AtimeOption,JournalOption,SpecialOption,IOScheduler,Device,Throughput
File,ext3,1024,1024,2,noatime,journal,none,cfq,sata,239.33
File,ext3,4096,4096,2,none,journal,none,cfq,sata,244.67
File,ext3,1024,1024,2,noatime,none,none,noop,sata,246.0
File,ext3,1024,1024,2,none,journal,none,noop,sata,246.67
File,ext3,1024,1024,2,none,none,none,deadline,sata,247.0
File,ext3,2048,1024,4,noatime,journal,none,deadline,sata,247.0
File,ext3,1024,1024,2,noatime,none,none,deadline,sata,247.33
File,ext3,1024,256,2,none,journal,none,cfq,sata,249.0
File,ext3,4096,4096,2,noatime,journal,none,noop,sata,249.33
File,ext3,4096,4096,2,none,journal,none,noop,sata,250.67
File,ext3,1024,256,2,noatime,journal,none,noop,sata,251.67
File,ext3,1024,1024,2,noatime,ordered,none,deadline,sata,251.67
File,ext3,1024,1024,2,noatime,journal,none,noop,sata,252.67
File,ext3,1024,1024,2,none,none,none,noop,sata,253.33
File,ext3,1024,512,2,noatime,ordered,none,cfq,sata,254.0
File,ext3,1024,1024,2,noatime,journal,none,deadline,sata,254.0
File,ext3,4096,4096,2,noatime,journal,none,cfq,sata,254.0
File,ext3,1024,512,2,none,none,none,cfq,sata,254.67
File,ext3,1024,1024,2,none,ordered,none,deadline,sata,254.67
File,ext3,1024,512,2,noatime,journal,none,deadline,sata,255.33
File,ext3,1024,1024,2,none,none,none,cfq,sata,255.67
File,ext3,1024,1024,2,noatime,none,none,cfq,sata,255.67
File,ext3,4096,4096,2,none,journal,none,deadline,sata,256.33
File,ext3,1024,512,2,none,none,none,deadline,sata,256.33
File,ext3,1024,1024,2,noatime,ordered,none,noop,sata,256.33
File,ext3,1024,none,2,noatime,journal,none,cfq,sata,256.75
File,ext3,2048,2048,2,none,journal,none,deadline,sata,257.0
File,ext3,2048,1024,4,none,journal,none,deadline,sata,257.67
File,ext3,1024,512,2,noatime,none,none,deadline,sata,257.67
File,ext3,1024,none,2,none,journal,none,noop,sata,257.75
File,ext3,2048,1024,4,noatime,journal,none,cfq,sata,258.33
File,ext3,1024,512,2,noatime,ordered,none,deadline,sata,258.33
File,ext3,1024,1024,2,none,ordered,none,cfq,sata,258.67
File,ext3,1024,512,2,none,journal,none,noop,sata,259.0
File,ext3,1024,1024,2,none,journal,none,deadline,sata,259.0
File,ext3,4096,4096,4,none,journal,none,deadline,sata,259.33
File,ext3,1024,none,2,noatime,journal,none,noop,sata,259.5
File,ext3,1024,1024,2,none,journal,none,cfq,sata,259.67
File,ext3,1024,none,2,none,journal,none,deadline,sata,259.75
File,ext3,1024,none,2,noatime,journal,none,deadline,sata,260.0
File,ext3,2048,2048,2,noatime,journal,none,cfq,sata,260.0
File,ext3,1024,1024,2,none,ordered,none,noop,sata,260.67
File,ext3,4096,4096,2,noatime,journal,none,deadline,sata,260.67
File,ext3,1024,256,2,none,journal,none,deadline,sata,262.0
File,ext3,4096,4096,2,none,ordered,none,deadline,sata,262.0
File,ext3,1024,512,2,noatime,none,none,noop,sata,262.33
File,ext3,1024,256,2,noatime,journal,none,cfq,sata,263.0
File,ext3,2048,2048,2,none,journal,none,noop,sata,263.0
File,ext3,1024,1024,2,noatime,writeback,none,noop,sata,263.33
File,ext3,1024,none,2,noatime,none,none,deadline,sata,264.75
File,ext3,4096,4096,2,noatime,ordered,none,noop,sata,265.33
File,ext3,1024,256,2,noatime,none,none,noop,sata,265.67
File,ext3,4096,2048,2,noatime,journal,none,deadline,sata,265.67
File,ext2,1024,1024,2,noatime,none,none,deadline,sata,266.33
File,ext3,2048,1024,2,noatime,journal,none,cfq,sata,266.33
File,ext3,1024,512,2,none,ordered,none,deadline,sata,266.5
File,ext3,2048,2048,2,noatime,journal,none,deadline,sata,266.67
File,ext3,1024,512,2,none,none,none,noop,sata,267.0
File,ext3,4096,2048,2,none,journal,none,noop,sata,267.0
File,ext3,1024,512,2,noatime,none,none,cfq,sata,267.67
File,ext3,1024,1024,2,noatime,ordered,none,cfq,sata,267.67
File,ext3,1024,none,2,none,ordered,none,deadline,sata,268.0
File,ext3,1024,256,2,none,journal,none,noop,sata,268.33
File,ext3,1024,none,2,none,journal,none,cfq,sata,269.25
File,ext3,1024,128,2,none,journal,none,deadline,sata,269.25
File,ext3,1024,512,2,none,ordered,none,noop,sata,269.33
File,ext3,1024,256,2,noatime,journal,none,deadline,sata,270.0
File,ext3,1024,128,2,noatime,journal,none,deadline,sata,270.25
File,ext3,4096,4096,2,none,none,none,noop,sata,270.33
File,ext3,1024,512,2,none,ordered,none,cfq,sata,270.33
File,ext3,2048,2048,2,none,journal,none,cfq,sata,270.67
File,ext3,4096,4096,2,noatime,ordered,none,deadline,sata,271.0
File,ext3,1024,512,2,noatime,journal,none,noop,sata,271.67
File,ext3,1024,512,2,none,journal,none,cfq,sata,271.67
File,ext3,1024,none,2,noatime,ordered,none,noop,sata,272.25
File,ext3,4096,4096,4,none,journal,none,noop,sata,272.33
File,ext3,1024,256,2,noatime,none,none,deadline,sata,272.67
File,ext3,4096,2048,2,noatime,journal,none,noop,sata,272.67
File,ext3,4096,4096,4,none,journal,none,cfq,sata,273.0
File,ext3,4096,4096,4,noatime,journal,none,cfq,sata,273.33
