File System,Block Size,Inode Size,Block Group,Atime Option,Journal Option,Special Option,I/O Scheduler,Device,Throughput
ext2,1024,none,none,none,none,none,noop,sas,15487.33
ext2,1024,none,none,none,none,none,noop,500sas,15424.67
ext2,1024,none,none,none,none,none,noop,ssd,15645.67
ext2,1024,none,none,none,none,none,noop,sata,15537.0
ext2,1024,none,none,none,none,none,cfq,sas,15437.67
ext2,1024,none,none,none,none,none,cfq,500sas,15472.67
ext2,1024,none,none,none,none,none,cfq,ssd,15634.33
ext2,1024,none,none,none,none,none,cfq,sata,15453.33
ext2,1024,none,none,none,none,none,deadline,sas,15714.33
ext2,1024,none,none,none,none,none,deadline,500sas,15474.33
ext2,1024,none,none,none,none,none,deadline,ssd,15555.0
ext2,1024,none,none,none,none,none,deadline,sata,15485.33
ext2,1024,none,none,noatime,none,none,noop,sas,15435.33
ext2,1024,none,none,noatime,none,none,noop,500sas,15456.0
ext2,1024,none,none,noatime,none,none,noop,ssd,15493.0
ext2,1024,none,none,noatime,none,none,noop,sata,15454.67
ext2,1024,none,none,noatime,none,none,cfq,sas,15538.33
ext2,1024,none,none,noatime,none,none,cfq,500sas,15446.0
ext2,1024,none,none,noatime,none,none,cfq,ssd,15668.67
ext2,1024,none,none,noatime,none,none,cfq,sata,15472.0
ext2,1024,none,none,noatime,none,none,deadline,sas,15590.0
ext2,1024,none,none,noatime,none,none,deadline,500sas,15507.33
ext2,1024,none,none,noatime,none,none,deadline,ssd,15598.33
ext2,1024,none,none,noatime,none,none,deadline,sata,15589.33
ext2,1024,none,2,none,none,none,noop,sas,15393.0
ext2,1024,none,2,none,none,none,noop,500sas,15184.0
ext2,1024,none,2,none,none,none,noop,ssd,15624.33
ext2,1024,none,2,none,none,none,noop,sata,15341.67
ext2,1024,none,2,none,none,none,cfq,sas,15527.33
ext2,1024,none,2,none,none,none,cfq,500sas,15154.0
ext2,1024,none,2,none,none,none,cfq,ssd,15580.0
ext2,1024,none,2,none,none,none,cfq,sata,15290.33
ext2,1024,none,2,none,none,none,deadline,sas,15407.0
ext2,1024,none,2,none,none,none,deadline,500sas,15313.0
ext2,1024,none,2,none,none,none,deadline,ssd,15671.33
ext2,1024,none,2,none,none,none,deadline,sata,15405.0
ext2,1024,none,2,noatime,none,none,noop,sas,15371.67
ext2,1024,none,2,noatime,none,none,noop,500sas,15264.0
ext2,1024,none,2,noatime,none,none,noop,ssd,15560.0
ext2,1024,none,2,noatime,none,none,noop,sata,15269.67
ext2,1024,none,2,noatime,none,none,cfq,sas,15372.0
ext2,1024,none,2,noatime,none,none,cfq,500sas,15260.67
ext2,1024,none,2,noatime,none,none,cfq,ssd,15669.0
ext2,1024,none,2,noatime,none,none,cfq,sata,15276.33
ext2,1024,none,2,noatime,none,none,deadline,sas,15460.33
ext2,1024,none,2,noatime,none,none,deadline,500sas,15317.33
ext2,1024,none,2,noatime,none,none,deadline,ssd,15535.0
ext2,1024,none,2,noatime,none,none,deadline,sata,15305.0
ext2,1024,none,4,none,none,none,noop,sas,15599.0
ext2,1024,none,4,none,none,none,noop,500sas,15453.67
ext2,1024,none,4,none,none,none,noop,ssd,15687.0
ext2,1024,none,4,none,none,none,noop,sata,15506.33
ext2,1024,none,4,none,none,none,cfq,sas,15726.0
ext2,1024,none,4,none,none,none,cfq,500sas,15428.0
ext2,1024,none,4,none,none,none,cfq,ssd,15678.0
ext2,1024,none,4,none,none,none,cfq,sata,15579.67
ext2,1024,none,4,none,none,none,deadline,sas,15627.33
ext2,1024,none,4,none,none,none,deadline,500sas,15529.67
ext2,1024,none,4,none,none,none,deadline,ssd,15715.33
ext2,1024,none,4,none,none,none,deadline,sata,15458.67
ext2,1024,none,4,noatime,none,none,noop,sas,15620.0
ext2,1024,none,4,noatime,none,none,noop,500sas,15204.33
ext2,1024,none,4,noatime,none,none,noop,ssd,15701.67
ext2,1024,none,4,noatime,none,none,noop,sata,15673.67
ext2,1024,none,4,noatime,none,none,cfq,sas,15646.0
ext2,1024,none,4,noatime,none,none,cfq,500sas,15525.67
ext2,1024,none,4,noatime,none,none,cfq,ssd,15674.33
ext2,1024,none,4,noatime,none,none,cfq,sata,15610.67
ext2,1024,none,4,noatime,none,none,deadline,sas,15579.67
ext2,1024,none,4,noatime,none,none,deadline,500sas,15441.67
ext2,1024,none,4,noatime,none,none,deadline,ssd,15673.67
ext2,1024,none,4,noatime,none,none,deadline,sata,15643.33
ext2,1024,none,8,none,none,none,noop,sas,15590.67
ext2,1024,none,8,none,none,none,noop,500sas,15373.67
ext2,1024,none,8,none,none,none,noop,ssd,15602.0
ext2,1024,none,8,none,none,none,noop,sata,15429.0
ext2,1024,none,8,none,none,none,cfq,sas,15506.0
ext2,1024,none,8,none,none,none,cfq,500sas,15497.33
ext2,1024,none,8,none,none,none,cfq,ssd,15609.0
ext2,1024,none,8,none,none,none,cfq,sata,15490.67
ext2,1024,none,8,none,none,none,deadline,sas,15668.67
ext2,1024,none,8,none,none,none,deadline,500sas,15341.33
ext2,1024,none,8,none,none,none,deadline,ssd,15374.0
ext2,1024,none,8,none,none,none,deadline,sata,15556.67
ext2,1024,none,8,noatime,none,none,noop,sas,15443.67
ext2,1024,none,8,noatime,none,none,noop,500sas,15362.33
ext2,1024,none,8,noatime,none,none,noop,ssd,15520.0
ext2,1024,none,8,noatime,none,none,noop,sata,15604.33
ext2,1024,none,8,noatime,none,none,cfq,sas,15437.33
ext2,1024,none,8,noatime,none,none,cfq,500sas,15503.33
ext2,1024,none,8,noatime,none,none,cfq,ssd,15626.67
ext2,1024,none,8,noatime,none,none,cfq,sata,15598.0
ext2,1024,none,8,noatime,none,none,deadline,sas,15632.33
ext2,1024,none,8,noatime,none,none,deadline,500sas,15580.0
ext2,1024,none,8,noatime,none,none,deadline,ssd,15577.0
ext2,1024,none,8,noatime,none,none,deadline,sata,15681.33
ext2,1024,128,none,none,none,none,noop,sas,15596.0
ext2,1024,128,none,none,none,none,noop,500sas,15417.33
ext2,1024,128,none,none,none,none,noop,ssd,15482.67
ext2,1024,128,none,none,none,none,noop,sata,15550.67
ext2,1024,128,none,none,none,none,cfq,sas,15502.0
ext2,1024,128,none,none,none,none,cfq,500sas,15430.0
ext2,1024,128,none,none,none,none,cfq,ssd,15562.67
ext2,1024,128,none,none,none,none,cfq,sata,15555.67
ext2,1024,128,none,none,none,none,deadline,sas,15506.0
ext2,1024,128,none,none,none,none,deadline,500sas,15470.67
ext2,1024,128,none,none,none,none,deadline,ssd,15606.0
ext2,1024,128,none,none,none,none,deadline,sata,15595.67
ext2,1024,128,none,noatime,none,none,noop,sas,15555.67
ext2,1024,128,none,noatime,none,none,noop,500sas,15353.0
ext2,1024,128,none,noatime,none,none,noop,ssd,15625.33
ext2,1024,128,none,noatime,none,none,noop,sata,15547.33
ext2,1024,128,none,noatime,none,none,cfq,sas,15608.67
ext2,1024,128,none,noatime,none,none,cfq,500sas,15559.33
ext2,1024,128,none,noatime,none,none,cfq,ssd,15420.0
ext2,1024,128,none,noatime,none,none,cfq,sata,15490.67
ext2,1024,128,none,noatime,none,none,deadline,sas,15664.67
ext2,1024,128,none,noatime,none,none,deadline,500sas,15370.67
ext2,1024,128,none,noatime,none,none,deadline,ssd,15535.67
ext2,1024,128,none,noatime,none,none,deadline,sata,15644.67
ext2,1024,128,2,none,none,none,noop,sas,15381.67
ext2,1024,128,2,none,none,none,noop,500sas,15277.0
ext2,1024,128,2,none,none,none,noop,ssd,15648.0
ext2,1024,128,2,none,none,none,noop,sata,15409.0
ext2,1024,128,2,none,none,none,cfq,sas,15370.0
ext2,1024,128,2,none,none,none,cfq,500sas,15239.0
ext2,1024,128,2,none,none,none,cfq,ssd,15628.67
ext2,1024,128,2,none,none,none,cfq,sata,15406.0
